sampleID	day_of_diet	mouse	day	days_post_cr
16_May_01	FF	1	6	NA
16_May_02	FF	2	6	NA
16_May_03	FF	3	6	NA
16_May_04	FF	4	6	NA
16_May_05	FF	5	6	NA
16_May_06	FF	6	6	NA
16_May_07	FF	7	6	NA
16_May_08	FR	8	6	NA
16_May_09	FR	9	6	NA
16_May_10	FR	10	6	NA
16_May_11	FR	11	6	NA
16_May_12	FR	12	6	NA
16_May_13	FR	13	6	NA
16_May_14	FR	14	6	NA
18_May_01	FF	1	8	NA
18_May_02	FF	2	8	NA
18_May_03	FF	3	8	NA
18_May_04	FF	4	8	NA
18_May_05	FF	5	8	NA
18_May_06	FF	6	8	NA
18_May_07	FF	7	8	NA
18_May_08	FR	8	8	NA
18_May_09	FR	9	8	NA
18_May_10	FR	10	8	NA
18_May_11	FR	11	8	NA
18_May_12	FR	12	8	NA
18_May_13	FR	13	8	NA
18_May_14	FR	14	8	NA
23_May_01	FF	1	13	NA
23_May_02	FF	2	13	NA
23_May_03	FF	3	13	NA
23_May_04	FF	4	13	NA
23_May_05	FF	5	13	NA
23_May_06	FF	6	13	NA
23_May_07	FF	7	13	NA
23_May_08	FR	8	13	NA
23_May_09	FR	9	13	NA
23_May_10	FR	10	13	NA
23_May_11	FR	11	13	NA
23_May_12	FR	12	13	NA
23_May_13	FR	13	13	NA
23_May_14	FR	14	13	NA
25_May_01	FF	1	15	NA
25_May_02	FF	2	15	NA
25_May_03	FF	3	15	NA
25_May_04	FF	4	15	NA
25_May_05	FF	5	15	NA
25_May_06	FF	6	15	NA
25_May_07	FF	7	15	NA
25_May_08	FR	8	15	NA
25_May_09	FR	9	15	NA
25_May_10	FR	10	15	NA
25_May_11	FR	11	15	NA
25_May_12	FR	12	15	NA
25_May_13	FR	13	15	NA
25_May_14	FR	14	15	NA
26_May_01	FF	1	16	NA
26_May_02	FF	2	16	NA
26_May_03	FF	3	16	NA
26_May_04	FF	4	16	NA
26_May_05	FF	5	16	NA
26_May_06	FF	6	16	NA
26_May_07	FF	7	16	NA
26_May_08	FR	8	16	NA
26_May_09	FR	9	16	NA
26_May_10	FR	10	16	NA
26_May_11	FR	11	16	NA
26_May_12	FR	12	16	NA
26_May_13	FR	13	16	NA
26_May_14	FR	14	16	NA
27_May_01	FF	1	17	NA
27_May_02	FF	2	17	NA
27_May_03	FF	3	17	NA
27_May_04	FF	4	17	NA
27_May_05	FF	5	17	NA
27_May_06	FF	6	17	NA
27_May_07	FF	7	17	NA
27_May_08	FR	8	17	NA
27_May_09	FR	9	17	NA
27_May_10	FR	10	17	NA
27_May_11	FR	11	17	NA
27_May_12	FR	12	17	NA
27_May_13	FR	13	17	NA
27_May_14	FR	14	17	NA
28_May_02	FF	2	18	NA
28_May_03	FF	3	18	NA
28_May_04	FF	4	18	NA
28_May_05	FF	5	18	NA
28_May_06	FF	6	18	NA
28_May_07	FF	7	18	NA
28_May_08	FR	8	18	NA
28_May_09	FR	9	18	NA
28_May_10	FR	10	18	NA
28_May_11	FR	11	18	NA
28_May_12	FR	12	18	NA
28_May_13	FR	13	18	NA
28_May_14	FR	14	18	NA
29_May_01	FF	1	19	NA
29_May_02	FF	2	19	NA
29_May_03	FF	3	19	NA
29_May_04	FF	4	19	NA
29_May_05	FF	5	19	NA
29_May_06	FF	6	19	NA
29_May_07	FF	7	19	NA
29_May_08	FR	8	19	NA
29_May_09	FR	9	19	NA
29_May_10	FR	10	19	NA
29_May_11	FR	11	19	NA
29_May_12	FR	12	19	NA
29_May_13	FR	13	19	NA
29_May_14	FR	14	19	NA
30_May_01	FF	1	20	NA
30_May_02	FF	2	20	NA
30_May_03	FF	3	20	NA
30_May_04	FF	4	20	NA
30_May_05	FF	5	20	NA
30_May_06	FF	6	20	NA
30_May_07	FF	7	20	NA
30_May_08	FR	8	20	NA
30_May_09	FR	9	20	NA
30_May_10	FR	10	20	NA
30_May_11	FR	11	20	NA
30_May_12	FR	12	20	NA
30_May_13	FR	13	20	NA
30_May_14	FR	14	20	NA
31_May_01	FF	1	21	NA
31_May_02	FF	2	21	NA
31_May_03	FF	3	21	NA
31_May_04	FF	4	21	NA
31_May_05	FF	5	21	NA
31_May_06	FF	6	21	NA
31_May_07	FF	7	21	NA
31_May_08	FR	8	21	NA
31_May_09	FR	9	21	NA
31_May_10	FR	10	21	NA
31_May_11	FR	11	21	NA
31_May_12	FR	12	21	NA
31_May_13	FR	13	21	NA
31_May_14	FR	14	21	NA
01_Jun_01	FF	1	22	NA
01_Jun_02	FF	2	22	NA
01_Jun_03	FF	3	22	NA
01_Jun_04	FF	4	22	NA
01_Jun_05	FF	5	22	NA
01_Jun_06	FF	6	22	NA
01_Jun_07	FF	7	22	NA
01_Jun_08	FR	8	22	NA
01_Jun_09	FR	9	22	NA
01_Jun_10	FR	10	22	NA
01_Jun_11	FR	11	22	NA
01_Jun_12	FR	12	22	NA
01_Jun_13	FR	13	22	NA
01_Jun_14	FR	14	22	NA
02_Jun_01	FF	1	23	NA
02_Jun_02	FF	2	23	NA
02_Jun_03	FF	3	23	NA
02_Jun_04	FF	4	23	NA
02_Jun_05	FF	5	23	NA
02_Jun_06	FF	6	23	NA
02_Jun_07	FF	7	23	NA
02_Jun_08	FR	8	23	NA
02_Jun_09	FR	9	23	NA
02_Jun_10	FR	10	23	NA
02_Jun_11	FR	11	23	NA
02_Jun_12	FR	12	23	NA
02_Jun_13	FR	13	23	NA
02_Jun_14	FR	14	23	NA
03_Jun_01	FF	1	24	NA
03_Jun_02	FF	2	24	NA
03_Jun_03	FF	3	24	NA
03_Jun_04	FF	4	24	NA
03_Jun_05	FF	5	24	NA
03_Jun_06	FF	6	24	NA
03_Jun_07	FF	7	24	NA
03_Jun_08	FR	8	24	NA
03_Jun_09	FR	9	24	NA
03_Jun_10	FR	10	24	NA
03_Jun_11	FR	11	24	NA
03_Jun_12	FR	12	24	NA
03_Jun_13	FR	13	24	NA
03_Jun_14	FR	14	24	NA
04_Jun_01	FF	1	25	NA
04_Jun_02	FF	2	25	NA
04_Jun_03	FF	3	25	NA
04_Jun_04	FF	4	25	NA
04_Jun_05	FF	5	25	NA
04_Jun_06	FF	6	25	NA
04_Jun_07	FF	7	25	NA
04_Jun_08	FR	8	25	NA
04_Jun_09	FR	9	25	NA
04_Jun_10	FR	10	25	NA
04_Jun_11	FR	11	25	NA
